IDs,Bosque maduro,Bosque secundario,Pastos,No forestal,Nubes,Sombra de nubes,totales,% Bosque maduro,% Bosque secundario,% No forestal,% Nubes,% Pastos,% Sombra de nubes
134,145,0,154,12,0,0,311,0.4662379421221865,0,0.03858520900321544,0,0.49517684887459806,0
135,0,0,0,313,0,0,313,0,0,1,0,0,0
136,226,0,77,14,0,0,317,0.7129337539432177,0,0.04416403785488959,0,0.24290220820189273,0
137,0,0,0,311,0,0,311,0,0,1,0,0,0
138,315,0,0,0,0,0,315,1,0,0,0,0,0
139,0,0,0,45,268,0,313,0,0,0.14376996805111822,0.8562300319488818,0,0
140,0,0,0,313,0,0,313,0,0,1,0,0,0
141,188,0,17,108,0,0,313,0.6006389776357828,0,0.3450479233226837,0,0.054313099041533544,0
142,143,0,170,0,0,0,313,0.45686900958466453,0,0,0,0.5431309904153354,0
143,312,0,0,0,0,0,312,1,0,0,0,0,0
144,0,0,81,235,0,0,316,0,0,0.7436708860759493,0,0.2563291139240506,0
145,0,0,0,317,0,0,317,0,0,1,0,0,0
146,14,0,0,301,0,0,315,0.044444444444444446,0,0.9555555555555556,0,0,0
147,58,0,124,129,0,0,311,0.1864951768488746,0,0.41479099678456594,0,0.3987138263665595,0
148,0,0,0,313,0,0,313,0,0,1,0,0,0
149,61,0,145,108,0,0,314,0.1942675159235669,0,0.34394904458598724,0,0.46178343949044587,0
150,0,0,48,267,0,0,315,0,0,0.8476190476190476,0,0.1523809523809524,0
151,0,0,0,315,0,0,315,0,0,1,0,0,0
152,0,0,3,310,0,0,313,0,0,0.9904153354632588,0,0.009584664536741214,0
153,0,0,0,317,0,0,317,0,0,1,0,0,0
154,57,0,0,256,0,0,313,0.18210862619808307,0,0.8178913738019169,0,0,0
155,0,0,0,316,0,0,316,0,0,1,0,0,0
156,4,0,29,284,0,0,317,0.012618296529968454,0,0.8958990536277602,0,0.0914826498422713,0
157,273,0,0,37,0,0,310,0.8806451612903226,0,0.11935483870967742,0,0,0
158,313,1,0,0,0,0,314,0.9968152866242038,0.0031847133757961785,0,0,0,0
159,308,0,0,7,0,0,315,0.9777777777777777,0,0.022222222222222223,0,0,0
160,0,0,0,311,0,0,311,0,0,1,0,0,0
161,312,0,0,0,0,0,312,1,0,0,0,0,0
