Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S72140031,Gray-headed Chachalaca,Ortalis cinereiceps,751,2,CR-A,,L11128679,BPI-001-CR,10.0789858,-84.5023686,2020-07-31,08:01 AM,eBird - Stationary Count,10,1,,,1,,,BPI-001-CR
S71963955,Gray-headed Chachalaca,Ortalis cinereiceps,751,3,CR-A,,L11128684,BPI-002-CR,10.079471,-84.5034763,2020-07-30,05:45 AM,eBird - Stationary Count,10,1,,,1,,,bpi2
S64175999,Gray-headed Chachalaca,Ortalis cinereiceps,751,6,CR-A,,L11128703,BPI-003-CR,10.0791521,-84.5042077,2020-01-26,08:03 AM,eBird - Stationary Count,12,1,,,1,,1,BPI-03
S72117431,Gray-headed Chachalaca,Ortalis cinereiceps,751,2,CR-A,,L11128703,BPI-003-CR,10.0791521,-84.5042077,2020-07-30,06:07 AM,eBird - Stationary Count,10,1,,,1
S72117576,Gray-headed Chachalaca,Ortalis cinereiceps,751,1,CR-A,,L11128703,BPI-003-CR,10.0791521,-84.5042077,2020-07-31,07:35 AM,eBird - Stationary Count,10,1,,,1
S59511494,Gray-headed Chachalaca,Ortalis cinereiceps,751,2,CR-A,,L11128710,BPI-004-CR,10.0792857,-84.5052216,2019-09-04,07:11 AM,eBird - Stationary Count,10,1,,,1,,2
S71963969,Gray-headed Chachalaca,Ortalis cinereiceps,751,2,CR-A,,L11128710,BPI-004-CR,10.0792857,-84.5052216,2020-07-30,06:12 AM,eBird - Stationary Count,10,1,,,1,,2,bpi4
S59537685,Gray-headed Chachalaca,Ortalis cinereiceps,751,4,CR-A,,L11128761,BPI-005-CR,10.1245722,-84.4816052,2019-09-05,06:02 AM,eBird - Stationary Count,10,1,,,1,,4
S72067363,Gray-headed Chachalaca,Ortalis cinereiceps,751,2,CR-A,,L11128771,BPI-006-CR,10.1255099,-84.4820598,2020-08-02,05:38 AM,eBird - Stationary Count,10,1,,,1,,,bpi6
S72117597,Gray-headed Chachalaca,Ortalis cinereiceps,751,5,CR-A,,L11128771,BPI-006-CR,10.1255099,-84.4820598,2020-08-02,05:47 AM,eBird - Stationary Count,10,1,,,1,,5
S72117605,Gray-headed Chachalaca,Ortalis cinereiceps,751,7,CR-A,,L11128788,BPI-007-CR,10.125849,-84.4811302,2020-08-02,06:01 AM,eBird - Stationary Count,11,1,,,1,,6
S59537722,Gray-headed Chachalaca,Ortalis cinereiceps,751,1,CR-A,,L11128808,BPI-008-CR,10.1261,-84.4796615,2019-09-05,06:53 AM,eBird - Stationary Count,10,1,,,1,,1
S59557300,Gray-headed Chachalaca,Ortalis cinereiceps,751,5,CR-A,,L11128831,BPI-010-CR,10.1481116,-84.5061124,2019-09-06,06:33 AM,eBird - Stationary Count,10,1,,,1,,5
S65482023,Gray-headed Chachalaca,Ortalis cinereiceps,751,3,CR-A,,L11128831,BPI-010-CR,10.1481116,-84.5061124,2020-03-05,06:28 AM,eBird - Stationary Count,11,1,,,1,,3,bpi10
