	Sci_name	Region	AOS_57	type	C_name	PT-c	TB-r	PS-g	BD-g	CS	PS_BD	PT_TB	WatchList	Cont_concern	Major_hab	Red_list_16	NOT_IUCN
4388	Tyrannus verticalis	Costa Rica	1272	landbird	Western Kingbird	2	NA	2	1	5	3	2	2	NC	Pastures/agricultural lands	LC	NA
4394	Tyto alba	Costa Rica	821	landbird	Barn Owl	2	3	2	1	8	3	5	3	NC	Second-growth scrub	LC	NA
4406	Vanellus chilensis	Costa Rica	443	shorebird	Southern Lapwing	1	1	2	1	5	3	2	NA	NC	"Low, seasonally wet grassland"	LC	NA
4408	Veniliornis kirkii	Costa Rica	963	landbird	Red-rumped Woodpecker	4	3	3	3	13	6	7	3	Watch List - Yel-d	Tropical lowland evergreen forest	LC	NA
4413	Vermivora chrysoptera	Costa Rica	1769	landbird	Golden-winged Warbler	5	NA	4	2	11	6	5	2	Watch List - Red	Montane evergreen forest	NT	NA
4422	Vireo carmioli	Costa Rica	1345	landbird	Yellow-winged Vireo	3	3	5	5	16	10	6	2	Watch List - Red	Montane evergreen forest	LC	NA
4424	Vireo flavifrons	Costa Rica	1344	landbird	Yellow-throated Vireo	1	NA	3	2	6	5	1	2	NC	Tropical lowland evergreen forest	LC	NA
4432	Vireo flavoviridis	Costa Rica	1353	landbird	Yellow-green Vireo	3	3	3	2	11	5	6	3	NC	Secondary forest	LC	NA
4437	Vireo gilvus	Costa Rica	1350	landbird	Warbling Vireo	1	NA	1	1	3	2	1	2	NC	Pine-oak forest	LC	NA
4448	Vireo leucophrys	Costa Rica	1351	landbird	Brown-capped Vireo	4	3	4	3	14	7	7	2	Watch List - Yel-d	Montane evergreen forest	LC	NA
4455	Vireo olivaceus	Costa Rica	1352	landbird	Red-eyed Vireo	2	NA	1	1	4	2	2	2	NC	Tropical lowland evergreen forest	LC	NA
4458	Vireo pallens	Costa Rica	1334	landbird	Mangrove Vireo	4	3	3	4	14	7	7	2	Watch List - Yel-r	Tropical deciduous forest	LC	NA
4467	Vireo philadelphicus	Costa Rica	1349	landbird	Philadelphia Vireo	2	NA	3	2	7	5	2	2	NC	Tropical lowland evergreen forest	LC	NA
4473	Vireo solitarius	Costa Rica	1347	landbird	Blue-headed Vireo	1	NA	2	2	5	4	1	2	NC	Pine-oak forest	LC	NA
4480	Vireolanius pulchellus	Costa Rica	1322	landbird	Green Shrike-Vireo	4	3	4	3	14	7	7	2	Watch List - Yel-d	Tropical lowland evergreen forest	LC	NA
4486	Volatinia jacarina	Costa Rica	1884	landbird	Blue-black Grassquit	1	2	1	1	5	2	3	3	NC	Second-growth scrub	LC	NA
4503	Xenops minutus	Costa Rica	1123	landbird	Plain Xenops	4	3	2	1	10	3	7	3	NC	Tropical lowland evergreen forest	LC	NA
4506	Xenops rutilans	Costa Rica	1124	landbird	Streaked Xenops	3	3	2	1	9	3	6	3	NC	Montane evergreen forest	LC	NA
4514	Xiphocolaptes promeropirhynchus	Costa Rica	1112	landbird	Strong-billed Woodcreeper	5	3	4	1	13	5	8	3	Watch List - Yel-d	Montane evergreen forest	LC	NA
4518	Xiphorhynchus erythropygius	Costa Rica	1116	landbird	Spotted Woodcreeper	4	3	4	3	14	7	7	2	Watch List - Yel-d	Montane evergreen forest	LC	NA
4527	Xiphorhynchus flavigaster	Costa Rica	1114	landbird	Ivory-billed Woodcreeper	4	3	3	3	13	6	7	3	NC	Tropical lowland evergreen forest	LC	NA
4531	Xiphorhynchus lachrymosus	Costa Rica	1115	landbird	Black-striped Woodcreeper	5	3	4	4	16	8	8	NA	Watch List - Red	Tropical lowland evergreen forest	LC	NA
4534	Xiphorhynchus susurrans	Costa Rica	1113	landbird	Cocoa Woodcreeper	4	3	3	3	13	6	7	3	NC	Tropical lowland evergreen forest	LC	NA
4538	Zeledonia coronata	Costa Rica	1848	landbird	Wrenthrush	3	3	5	5	16	10	6	2	Watch List - Red	Montane evergreen forest	LC	NA
4546	Zenaida asiatica	Costa Rica	192	landbird	White-winged Dove	3	2	1	2	8	3	5	NA	NC	Tropical deciduous forest	LC	NA
4548	Zenaida macroura	Costa Rica	195	landbird	Mourning Dove	3	2	1	1	7	2	5	NA	NC	Pastures/agricultural lands	LC	NA
4557	Zentrygon chiriquensis	Costa Rica	190	landbird	Chiriqui Quail-Dove	4	3	5	5	17	10	7	NA	Watch List - Red	Montane evergreen forest	LC	NA
4560	Zentrygon costaricensis	Costa Rica	187	landbird	Buff-fronted Quail-Dove	4	3	5	5	17	10	7	NA	Watch List - Red	Montane evergreen forest	LC	NA
4563	Zentrygon lawrencii	Costa Rica	188	landbird	Purplish-backed Quail-Dove	3	3	5	5	16	10	6	NA	Watch List - Yel-r	Montane evergreen forest	LC	NA
4565	Zimmerius parvus	Costa Rica	1171	landbird	Mistletoe Tyrannulet	3	2	3	3	11	6	5	2	NC	Montane evergreen forest	LC	NA
4571	Zonotrichia capensis	Costa Rica	2008	landbird	Rufous-collared Sparrow	1	2	2	1	6	3	3	2	NC	Arid lowland scrub	LC	NA
