IDs,Bosque maduro,Bosque secundario,No forestal,Nubes,Pastos,Sombra de nubes,totales,% Bosque maduro,% Bosque secundario,% No forestal,% Nubes,% Pastos,% Sombra de nubes
119,0,0,29,0,0,0,29,0,0,1,0,0,0
120,0,0,9,0,19,0,28,0,0,0.32142857142857145,0,0.6785714285714286,0
121,5,0,23,0,0,0,28,0.17857142857142858,0,0.8214285714285714,0,0,0
122,0,0,21,0,8,0,29,0,0,0.7241379310344828,0,0.27586206896551724,0
123,14,0,14,0,0,0,28,0.5,0,0.5,0,0,0
124,0,0,27,0,0,0,27,0,0,1,0,0,0
125,0,0,28,0,0,0,28,0,0,1,0,0,0
126,27,0,0,0,1,0,28,0.9642857142857143,0,0,0,0.03571428571428571,0
127,0,0,27,0,0,0,27,0,0,1,0,0,0
128,0,0,28,0,0,0,28,0,0,1,0,0,0
129,0,0,28,0,0,0,28,0,0,1,0,0,0
130,0,0,28,0,0,0,28,0,0,1,0,0,0
131,0,0,29,0,0,0,29,0,0,1,0,0,0
132,0,0,28,0,0,0,28,0,0,1,0,0,0
133,28,0,0,0,0,0,28,1,0,0,0,0,0
134,14,0,0,0,14,0,28,0.5,0,0,0,0.5,0
135,0,0,27,0,0,0,27,0,0,1,0,0,0
136,28,0,0,0,0,0,28,1,0,0,0,0,0
137,0,0,26,0,0,0,26,0,0,1,0,0,0
138,29,0,0,0,0,0,29,1,0,0,0,0,0
139,0,0,0,27,0,0,27,0,0,0,1,0,0
140,0,0,28,0,0,0,28,0,0,1,0,0,0
141,16,0,8,0,4,0,28,0.5714285714285714,0,0.2857142857142857,0,0.14285714285714285,0
142,14,0,0,0,14,0,28,0.5,0,0,0,0.5,0
143,27,0,0,0,0,0,27,1,0,0,0,0,0
144,0,0,20,0,12,0,32,0,0,0.625,0,0.375,0
145,0,0,28,0,0,0,28,0,0,1,0,0,0
146,0,0,28,0,0,0,28,0,0,1,0,0,0
147,18,0,1,0,9,0,28,0.6428571428571429,0,0.03571428571428571,0,0.32142857142857145,0
148,0,0,28,0,0,0,28,0,0,1,0,0,0
149,0,0,17,0,10,0,27,0,0,0.6296296296296297,0,0.37037037037037035,0
150,0,0,29,0,0,0,29,0,0,1,0,0,0
151,0,0,29,0,0,0,29,0,0,1,0,0,0
152,0,0,29,0,0,0,29,0,0,1,0,0,0
153,0,0,29,0,0,0,29,0,0,1,0,0,0
154,2,0,25,0,0,0,27,0.07407407407407407,0,0.9259259259259259,0,0,0
155,0,0,29,0,0,0,29,0,0,1,0,0,0
156,0,0,29,0,0,0,29,0,0,1,0,0,0
157,18,0,8,0,0,0,26,0.6923076923076923,0,0.3076923076923077,0,0,0
158,31,0,0,0,0,0,31,1,0,0,0,0,0
159,28,0,0,0,0,0,28,1,0,0,0,0,0
160,0,0,27,0,0,0,27,0,0,1,0,0,0
161,27,0,0,0,0,0,27,1,0,0,0,0,0
